bucket,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,method,n_synth_series,predicted_regime,vol_bucket,test_start
BASE,0.36140366384773615,0.9455235595566419,-0.07580303830701285,-0.02185223201576536,-0.024696336459593144,0.07167355860525527,0.1983199557031946,60,mixed,0,0,low,2021-01-20
REGIME_VOL,0.3614036638477363,0.9455300142129249,-0.0759523120258423,-0.021895413584876566,-0.024745138181945996,0.07181519066929917,0.19871185008117623,60,mixed,0,0,low,2021-01-20
VOL_SCALE_1.8x,0.3614036638477364,0.9491581492812554,-0.1359229814200652,-0.03933401762837764,-0.044453405627267656,0.12901240548945955,0.3569759202657503,60,mixed,0,0,low,2021-01-20
NEG_SHOCK_-10%,-1.1303408164679432,-2.424406264382028,-0.1436749469394445,-0.022093391294826785,-0.056323971351058655,-0.3483264413947447,0.30816054443047125,60,mixed,0,0,low,2021-01-20
CORR_INFLATE_1.3,0.5025004039009346,1.3347908665723276,-0.06439000991258881,-0.018424432577860694,-0.021321154426222108,0.08594719712982518,0.1710390607900272,60,mixed,0,0,low,2021-01-20
WHIPSAW,-0.6232021054988502,-0.9031676413033393,-0.15572897481318038,-0.02588351973261524,-0.029743870205035144,-0.14064937086460724,0.22568821514494508,60,mixed,0,0,low,2021-01-20
SLOW_BLEED,-0.4779715936657991,-1.0221917813486543,-0.09347747527032335,-0.02267364665365992,-0.024908823610171094,-0.0955519069625466,0.19991126717324784,60,mixed,0,0,low,2021-01-20
CRASH_2008,-1.5697761121460085,-5.680254365660845,-0.9793337379310124,-0.36366581468265824,-0.492816400125867,-5.562864740321587,3.5437312985459504,60,mixed,0,0,low,2021-01-20
BASE,1.2365991079477177,3.247735171553654,-0.05157650976093431,-0.013172231725537489,-0.020620043409196348,0.1675068447765667,0.13545767880632237,60,regime,0,1,low,2021-04-14
REGIME_VOL,1.2365991079477174,3.2545083138549398,-0.05966250487476654,-0.015269108185964638,-0.023902530730908377,0.19417211814033858,0.15702107246591032,60,regime,0,1,low,2021-04-14
VOL_SCALE_1.8x,1.2365991079477174,3.282186598563486,-0.09186324772935905,-0.02371001710596748,-0.037116078136553425,0.3015123205978199,0.24382382185138024,60,regime,0,1,low,2021-04-14
NEG_SHOCK_-10%,-1.1691554248159355,-1.8568851665891337,-0.13597672045990428,-0.017275071164196982,-0.04282178382940487,-0.2524931552234334,0.21596200972439947,60,regime,0,1,low,2021-04-14
CORR_INFLATE_1.3,1.3812915379384643,3.5933119998283396,-0.04509490552022932,-0.011176094474051847,-0.017825931673987147,0.16204006513696526,0.11731054646060105,60,regime,0,1,low,2021-04-14
WHIPSAW,-0.27416769707459526,-0.38707098026031916,-0.1157826005534065,-0.02058662174181573,-0.029255247300274373,-0.044816084693296024,0.16346230854870736,60,regime,0,1,low,2021-04-14
SLOW_BLEED,0.002069752780920745,0.005508873428690413,-0.05107745030032762,-0.013828059054072158,-0.022057066917200444,0.00028137920876473,0.13594822113951038,60,regime,0,1,low,2021-04-14
CRASH_2008,-1.5000283464879893,-5.4943754951952,-0.9781070864345718,-0.36439354648148686,-0.4952193974662129,-5.374087607382885,3.58265736775256,60,regime,0,1,low,2021-04-14
BASE,0.6044484424250969,1.5267285758957807,-0.07302179598155067,-0.01971522388002693,-0.026729015181444344,0.11148446258826511,0.1844399865453872,60,mixed,0,1,low,2021-04-14
REGIME_VOL,0.604448442425097,1.5321961284138124,-0.08434401952716608,-0.022853673743912298,-0.03098398456796898,0.12923158017438285,0.21380083246785303,60,mixed,0,1,low,2021-04-14
VOL_SCALE_1.8x,0.6044484424250973,1.5545749996358613,-0.12908481913441427,-0.035487402984048476,-0.04811222732659983,0.2006720326588773,0.3319919757816969,60,mixed,0,1,low,2021-04-14
NEG_SHOCK_-10%,-1.3043612367405046,-2.081714472757059,-0.14820261925888978,-0.02192952977245879,-0.04498707564788634,-0.30851553741173493,0.2365261468385022,60,mixed,0,1,low,2021-04-14
